id,D_INTERVIEW,B_COUNTRY_ALPHA,Country_label,dependiente,full_prompt
244,20070244,AND,Andorra,Q237,"Imagine you are a 49-year-old man, working as a clerical worker, with higher education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
14,20070014,AND,Andorra,Q237,"Imagine you are a 53-year-old woman, working as a professional or technical worker, with higher education, identifying as upper middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
374,20070374,AND,Andorra,Q237,"Imagine you are a 22-year-old woman, working as a professional or technical worker, with higher education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
665,20070665,AND,Andorra,Q237,"Imagine you are a 26-year-old woman, working as a clerical worker, with postgraduate education, identifying as upper middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
602,20070602,AND,Andorra,Q237,"Imagine you are a 23-year-old man, working as a professional or technical worker, with higher education, identifying as upper middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
1494,32070490,ARG,Argentina,Q237,"Imagine you are a 29-year-old man, working as a skilled worker, with secondary education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
1625,32070621,ARG,Argentina,Q237,"Imagine you are a 36-year-old woman, who never had a job, with secondary education, identifying as lower class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
1779,32070775,ARG,Argentina,Q237,"Imagine you are a 23-year-old woman, who never had a job, with secondary education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
1909,32070905,ARG,Argentina,Q237,"Imagine you are a 28-year-old man, working as a unspecified occupation, with secondary education, identifying as upper middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
1941,32070937,ARG,Argentina,Q237,"Imagine you are a 71-year-old man, working as a semi-skilled worker, with low education, identifying as working class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
2323,51070316,ARM,Armenia,Q237,"Imagine you are a 31-year-old man, working as a professional or technical worker, with higher education, identifying as upper middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
2535,51070528,ARM,Armenia,Q237,"Imagine you are a 31-year-old woman, working as a professional or technical worker, with higher education, identifying as upper middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
3147,51071140,ARM,Armenia,Q237,"Imagine you are a 51-year-old woman, working as a unskilled worker, with postgraduate education, identifying as working class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
2781,51070774,ARM,Armenia,Q237,"Imagine you are a 70-year-old woman, working as a service worker, with secondary education, identifying as lower middle class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
2754,51070747,ARM,Armenia,Q237,"Imagine you are a 31-year-old man, working as a unskilled worker, with secondary education, identifying as working class, in Armenia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
4737,36071506,AUS,Australia,Q237,"Imagine you are a 54-year-old woman, working as a farm proprietor or manager, with secondary education, identifying as working class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
4731,36071500,AUS,Australia,Q237,"Imagine you are a 42-year-old man, working as a higher administrative, with secondary education, identifying as upper middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
3710,36070479,AUS,Australia,Q237,"Imagine you are a 77-year-old woman, working as a skilled worker, with low education, identifying as lower middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
4965,36071734,AUS,Australia,Q237,"Imagine you are a 35-year-old woman, working as a professional or technical worker, with higher education, identifying as lower middle class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
3297,36070066,AUS,Australia,Q237,"Imagine you are a 64-year-old woman, working as a professional or technical worker, with postgraduate education, identifying as working class, in Australia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
5194,50070151,BGD,Bangladesh,Q237,"Imagine you are a 46-year-old woman, who never had a job, with low education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
5709,50070666,BGD,Bangladesh,Q237,"Imagine you are a 56-year-old woman, who never had a job, with low education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
5810,50070767,BGD,Bangladesh,Q237,"Imagine you are a 30-year-old man, working as a farm worker, with secondary education, identifying as lower middle class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
5203,50070160,BGD,Bangladesh,Q237,"Imagine you are a 61-year-old man, working as a professional or technical worker, with secondary education, identifying as working class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
5198,50070155,BGD,Bangladesh,Q237,"Imagine you are a 35-year-old woman, who never had a job, with low education, identifying as lower middle class, in Bangladesh. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
6949,68070706,BOL,Bolivia,Q237,"Imagine you are a 60-year-old man, working as a clerical worker, with higher education, identifying as working class, in Bolivia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
6955,68070712,BOL,Bolivia,Q237,"Imagine you are a 33-year-old woman, working as a unspecified occupation, with low education, identifying as lower middle class, in Bolivia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
7695,68071452,BOL,Bolivia,Q237,"Imagine you are a 26-year-old man, working as a sales worker, with secondary education, identifying as lower middle class, in Bolivia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
6915,68070672,BOL,Bolivia,Q237,"Imagine you are a 71-year-old woman, working as a professional or technical worker, with higher education, identifying as lower middle class, in Bolivia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
7517,68071274,BOL,Bolivia,Q237,"Imagine you are a 65-year-old man, working as a unspecified occupation, with secondary education, identifying as upper middle class, in Bolivia. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
9104,76070886,BRA,Brazil,Q237,"Imagine you are a 50-year-old woman, working as a unspecified occupation, with low education, identifying as lower class, in Brazil. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
9725,76071581,BRA,Brazil,Q237,"Imagine you are a 87-year-old man, working as a service worker, with low education, identifying as lower class, in Brazil. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
8719,76070452,BRA,Brazil,Q237,"Imagine you are a 20-year-old man, working as a semi-skilled worker, with secondary education, identifying as lower middle class, in Brazil. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
10061,76071962,BRA,Brazil,Q237,"Imagine you are a 30-year-old woman, working as a skilled worker, with secondary education, identifying as working class, in Brazil. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
9680,76071529,BRA,Brazil,Q237,"Imagine you are a 24-year-old man, working as a unskilled worker, with secondary education, identifying as lower middle class, in Brazil. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
11853,124072443,CAN,Canada,Q237,"Imagine you are a 86-year-old woman, working as a higher administrative, with secondary education, identifying as upper middle class, in Canada. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
11762,124072335,CAN,Canada,Q237,"Imagine you are a 66-year-old woman, working as a professional or technical worker, with higher education, identifying as lower middle class, in Canada. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
13697,124075276,CAN,Canada,Q237,"Imagine you are a 22-year-old woman, working as a professional or technical worker, with higher education, identifying as upper middle class, in Canada. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
12844,124073860,CAN,Canada,Q237,"Imagine you are a 41-year-old woman, working as a semi-skilled worker, with higher education, identifying as upper middle class, in Canada. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
13534,124075072,CAN,Canada,Q237,"Imagine you are a 36-year-old man, working as a higher administrative, with postgraduate education, identifying as upper middle class, in Canada. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
14772,152070682,CHL,Chile,Q237,"Imagine you are a 18-year-old woman, working as a farm worker, with higher education, identifying as lower middle class, in Chile. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
14505,152070415,CHL,Chile,Q237,"Imagine you are a 43-year-old man, working as a semi-skilled worker, with secondary education, identifying as lower middle class, in Chile. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
14224,152070134,CHL,Chile,Q237,"Imagine you are a 58-year-old woman, who never had a job, with secondary education, identifying as lower middle class, in Chile. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
14801,152070711,CHL,Chile,Q237,"Imagine you are a 37-year-old man, working as a professional or technical worker, with postgraduate education, identifying as lower middle class, in Chile. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
15047,152070957,CHL,Chile,Q237,"Imagine you are a 49-year-old man, working as a sales worker, with secondary education, identifying as lower middle class, in Chile. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
16702,156071612,CHN,China,Q237,"Imagine you are a 65-year-old woman, working as a farm worker, with secondary education, identifying as working class, in China. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
16491,156071401,CHN,China,Q237,"Imagine you are a 19-year-old woman, who never had a job, with higher education, identifying as lower middle class, in China. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
17308,156072218,CHN,China,Q237,"Imagine you are a 49-year-old woman, working as a service worker, with secondary education, identifying as working class, in China. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having the army rule"
