id,D_INTERVIEW,B_COUNTRY_ALPHA,Country_label,dependiente,full_prompt
348,20070348,AND,Andorra,Q239,"Imagine you are a 47-year-old woman, working as a clerical worker, with higher education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
649,20070649,AND,Andorra,Q239,"Imagine you are a 63-year-old man, working as a sales worker, with higher education, identifying as lower middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
989,20070989,AND,Andorra,Q239,"Imagine you are a 57-year-old woman, working as a sales worker, with secondary education, identifying as working class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
355,20070355,AND,Andorra,Q239,"Imagine you are a 85-year-old woman, working as a clerical worker, with secondary education, identifying as upper middle class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
840,20070840,AND,Andorra,Q239,"Imagine you are a 33-year-old man, working as a clerical worker, with secondary education, identifying as working class, in Andorra. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
1139,32070135,ARG,Argentina,Q239,"Imagine you are a 42-year-old man, working as a unspecified occupation, with secondary education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
1825,32070821,ARG,Argentina,Q239,"Imagine you are a 55-year-old man, working as a sales worker, with secondary education, identifying as working class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
1927,32070923,ARG,Argentina,Q239,"Imagine you are a 65-year-old woman, who never had a job, with low education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
1228,32070224,ARG,Argentina,Q239,"Imagine you are a 27-year-old man, working as a semi-skilled worker, with low education, identifying as lower class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
1170,32070166,ARG,Argentina,Q239,"Imagine you are a 63-year-old man, working as a unskilled worker, with secondary education, identifying as lower middle class, in Argentina. I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?: Having a system governed by religious law in which there are no political parties or elections"
